標記內容	宣傳手法	原句
服貿 風暴	NCL	六 年前 的 ＥＣＦＡ 風暴 與 六 年 後 的 服貿 風暴 何其 相似 ，
「 反 服貿 風暴 」	NCL	這 場 「 反 服貿 風暴 」 ，
台獨 風暴	NCL	可以 清楚 看見 這 其實 是 一 場 學運 寡頭 操作 的 台獨 風暴 。
左派 風暴	NCL	如果 這 場 反 服貿 的 反 自由化 、 反 全球化 的 「 左派 風暴 」 破滅 了 台灣 加入 ＴＰＰ 及 ＲＣＥＰ 的 憧憬 ，
關說 者	NCL	形同 學運 為 兩 名 關說 者 戴上 「 桂冠 」 ，
廢 核四 風暴	NCL	近來 太陽 花 學運 及 廢 核四 風暴 更 重擊 馬 政府 經濟 政策 路線 。
政治騙案	NCL	實際 上 必須 辨明 這 是否 一 個 政治 騙案 。
「 野百合 世代 」	NCL	九○年代 的 「 野百合 世代 」 ，
服貿 黑箱	NCL	為了 一 個 懸 為 眾矢之的 的 「 服貿 黑箱 」 ，
「 失能 的 民主 」 	NCL	「 失能 的 民主 」 將 難以 扭轉 兩岸 消長 情勢 的 繼續 惡化 。
「 呼吸 策略 」	NCL	它 必須 採取 「 呼吸 策略 」 而 不 是 「 窒息 策略 」 。
「 窒息 策略 」 。	NCL	它 必須 採取 「 呼吸 策略 」 而 不 是 「 窒息 策略 」 。
封殺 政策	NCL	而 絕非 搬出 更 強硬 的 封殺 政策 ，
 台獨 的 「 石器 時代 」	NCL	竟 被 那些 初 嘗 台獨 思想 的 太陽花 人物 一舉 又 拖 回到 台獨 的 「 石器 時代 」 。
煽動 者	NCL	民進黨 在 三一八 事件 中 雖 扮演 了 「 煽動 者 」 與 「 收割 者 」 的 角色 ，
收割 者	NCL	民進黨 在 三一八 事件 中 雖 扮演 了 「 煽動 者 」 與 「 收割 者 」 的 角色 ，
野百合 世代	NCL	大約 是 野百合 世代 摩拳擦掌 踏入 政界 的 年代 ，
 憲政 荒謬劇 。	NCL	將 出現 立法權 侵犯 行政權 的 憲政 荒謬劇 。
「 尾巴 搖狗 」 的 荒謬劇	NCL	也 將 使 教育 的 百年樹人 大業 淪為 「 尾巴 搖狗 」 的 荒謬劇 ，
服貿 黑箱	NCL	再 後來 又 「 反服貿 黑箱 」 。
馬戲團	NCL	這樣 的 國會 又 怎能 不 變成 「 政治 馬戲團 」 ？
這 堂 課	NCL	只 顯示 他 在 「 民主 」 這 堂 課 上 恐怕 還是 個 小學生 。
天王 們	NCL	黨主席 和 所謂 「 天王 們 」 難道 不能 從 流水席 中 挪出 一些 時間 和 黨團 立委 共商 對策 ，
顯然	PS	蔡英文 顯然 也 看出 了 其中 問題 ，
並 不 令 人 意外	PS	並 不 令 人 意外 。
法官 在 擒縱 之間 豈非 更 不符 比例 原則 ？	PS	法官 在 擒縱 之間 豈非 更 不符 比例 原則 ？
這 真的 有 把 服貿 當 回 事 嗎 ？	PS	這 真的 有 把 服貿 當 回 事 嗎 ？
顯然	PS	顯然 言過其實 。
這 難道 不 是 民主 的 失控 ？	PS	這 難道 不 是 民主 的 失控 ？
這些 人 有 認真 看待 學生 的 不滿 嗎 ？	PS	這些 人 有 認真 看待 學生 的 不滿 嗎 ？
竟	PS	法官 竟 以 「 檢察 總長 與 總統 並 無 隸屬 關係 」 ，
竟	PS	竟 也 構成 洩密 ，
法官 難道 是 活 在 「 象牙塔 裡 」 的 人 ？	PS	法官 難道 是 活 在 「 象牙塔 裡 」 的 人 ？
不 就是 司法 干預 政治 的 危險 嗎 ？	PS	不 就是 司法 干預 政治 的 危險 嗎 ？
這 不 是 在 阻斷 台灣 加入 ＴＰＰ 及 ＲＣＥＰ 之 路 嗎 ？	PS	這 不 是 在 阻斷 台灣 加入 ＴＰＰ 及 ＲＣＥＰ 之 路 嗎 ？
竟	PS	有時 竟 顯得 勝過 幾百萬 個 被 當成 「 背景值 」 的 無名氏 。
」 這 種 說法 不 是 很 有力 嗎 ？	PS	」 這 種 說法 不 是 很 有力 嗎 ？
他 不 就 能 把 支持 服貿 的 社會 力量 拉進 來 當成 自己 的 憑藉 嗎 ？	PS	他 不 就 能 把 支持 服貿 的 社會 力量 拉進 來 當成 自己 的 憑藉 嗎 ？
絕非	PS	煽風 點火 的 民進黨 蘇 蔡謝 等 天王 們 更 絕非 出於 無知 ，
否則 台灣 豈 有 可能 訂出 一 紙 「 只 取 不 給 」 的 條約 ？	PS	否則 台灣 豈 有 可能 訂出 一 紙 「 只 取 不 給 」 的 條約 ？
又 豈 對 台灣 有利 ？	PS	又 豈 對 台灣 有利 ？
顯然	PS	但 在 現實 上 顯然 影響 不 大 。
顯然	PS	但 顯然 ，
被 卡住 不能 動彈 的 議案 豈止 服貿 協議 一 案 ？	PS	被 卡住 不能 動彈 的 議案 豈止 服貿 協議 一 案 ？
不 是 嗎 ？	PS	不 是 嗎 ？
豈不 變成 自己 所 鄙薄 的 人 ？	PS	豈不 變成 自己 所 鄙薄 的 人 ？
都 不可能 簽名 交出 自己 的 代議權 吧 ？	PS	都 不可能 簽名 交出 自己 的 代議權 吧 ？
不 覺得 太過 自大 及 反 民主 嗎 ？	PS	不 覺得 太過 自大 及 反 民主 嗎 ？
竟	PS	竟 連 馬 政府 也 不 設 停損點 、 唾面自乾 地 和 學生 在 那裡 耗 著 ，
你們 心 中 真的 還 有 別人 嗎 ？	PS	你們 心 中 真的 還 有 別人 嗎 ？
「 占領 國會 」 就 能 等同 於 「 領導 國家 」 嗎 ？	PS	「 占領 國會 」 就 能 等同 於 「 領導 國家 」 嗎 ？
「 領導 國家 」 難道 不 需要 經過 公職 選舉 嗎 ？	PS	「 領導 國家 」 難道 不 需要 經過 公職 選舉 嗎 ？
學生 是否 應當 自問 ：	PS	學生 是否 應當 自問 ：
難道 應當 鋪紅 地毯 相迎 ？	PS	難道 應當 鋪紅 地毯 相迎 ？
竟	PS	竟 以 可以 救濟 的 「 程序 正義 」 賠上 分秒必爭 且 無可 逆轉 的 「 台灣 全球化 機遇 」 ，
竟 以 可以 救濟 的 「 程序 正義 」 賠上 分秒必爭 且 無可 逆轉 的 「 台灣 全球化 機遇 」 ，	PS	竟 以 可以 救濟 的 「 程序 正義 」 賠上 分秒必爭 且 無可 逆轉 的 「 台灣 全球化 機遇 」 ，
不 是 已經 被 驗證 為 根本 行不通 的 「 老 辦法 」 ？	PS	則 其中 哪 一 種 「 新 定義 」 不 是 已經 被 驗證 為 根本 行不通 的 「 老 辦法 」 ？
竟	PS	最後 一 抹 餘暉 竟 照 在 太陽花 上 。
竟	PS	倘若 這 個 社會 竟 成 了 只 容 反 服貿 、 不容 支持 服貿 ，
竟	PS	誰 料 廿五 年 後 竟 會 出現 「 太陽花 黑色 恐怖 一言堂 」 ？
竟	PS	馬英九 竟 只 能 承諾 兩 周 內 提出 「 黨務 改革 方案 」 ，
豈不	PS	又 豈不是 「 迢迢 千 里 」 ？
顯然	PS	顯然 沒有 。
豈不	PS	豈不 反諷 之至 ？
顯然	PS	則 因應 顯然 是 遠遠 不足 的 。
顯然	PS	顯然 疑問 重重 。
絕非	PS	但 那 絕非 正當 合理 的 答案 。
顯然	PS	顯然 抓住 了 「 形勢 大好 」 的 時機 。
顯然	PS	顯然 對 民主 問政 品質 毫無 任何 助益 。
顯然	PS	檢警 偵辦 的 過程 顯然 並 不 順利 。
豈不	PS	但 以 那 十四 個 字 為 內 核 的 整 部 台獨 黨綱 豈不 正 是 「 狹義 的 台獨 」 ？
竟	PS	蔡英文 竟 先 一步 將 之 竊據 為 台獨 運動 ，
豈不	PS	豈不 更 是 「 太 冷血 了 」 ？
竟	PS	難道 民進黨 竟 只 因 一 場 太陽 花 事件 ，
這 豈不是 「 害台 ╱ 反 台 」 的 冷血 政策 ？	PS	這 豈不是 「 害台 ╱ 反 台 」 的 冷血 政策 ？
竟	PS	但 至 二 〇 一二 參選 總統 時 竟 稱 「 概括 承受 」 ，
顯然	PS	蔡英文 顯然 將 此 解釋為 「 民進黨 若 重返 執政 ，
竟	PS	則 蔡英文 竟 仍 問 台灣 為何 被 南韓 超越 ，
不 是 嗎 ？	PS	不 是 嗎 ？
竟	PS	竟 還 能 像 強 冠 那樣 可以 大 桶 大 桶 買進 充當 原料 ？
豈不	PS	首都 市民 豈不 被 自己 的 「 素人 想望 」 所 愚弄 了 ？
竟	PS	竟 在 全 局 因應 失敗 ，
顯然	PS	中日 雙方 顯然 相信 ，
絕非	PS	絕非 普通 網民 ；
竟	PS	國民黨 內 竟 未 聞 砲聲隆隆 ，
竟	PS	馬英九 任內 六 年 多 竟 無法 成功 加入 某 一 國際 組織 ，
絕非	PS	而 絕非 搬出 更 強硬 的 封殺 政策 ，
顯然	PS	北京 顯然 已 有 面對 二 〇 一六 年 台灣 再次 出現 政黨 輪替 的 心理 準備 ，
顯然	PS	台獨 顯然 已 非 可行 方案 。
顯然	PS	卻 顯然 是 拿 錯 了 藥方 。
顯然	PS	但 顯然 也 有 一 股 想要 擺脫 藍 綠 糾纏 的 民意 ，
竟	PS	認為 張顯耀 是 次長 層級 的 高官 竟 把 資料 提供給 外人 ，
竟	PS	日本 竟 也 難以 招架 。
竟	PS	難道 美方 竟 放任 中共 進行 動武 的 部署 而 無動於衷 ，
顯然	PS	新 航路 顯然 是 要 倒 逼 台灣 思考 開放 這 片 空域 ，
顯然	PS	卻 顯然 是 對準 可能 完成 「 最後 一 哩 」 的 蔡英文 ，
顯然	PS	顯然 習近平 猶 有 理性 。
竟	PS	竟 被 那些 初 嘗 台獨 思想 的 太陽花 人物 一舉 又 拖 回到 台獨 的 「 石器 時代 」 。
竟	PS	但 蔡英文 竟 也 發表 「 台獨 是 天然 成分 ╱ 中國 會 向 民進黨 調整 」 的 謬論 ，
顯然	PS	卻 顯然 不能 以 台獨 為 治國 方案 ；
顯然	PS	但 其 要求 分享 資源 的 主張 卻 顯然 未 受到 民進黨 的 歡迎 。
竟	PS	她 竟 改口 「 內閣制 沒 存在 空間 」 。
竟	PS	但 如今 這些 主張 竟 從 民進黨 的 修憲 版本 中 消失 得 無影無蹤 。
竟	PS	民進黨 竟 縮 了 回去 ，
竟	PS	如今 竟 亦 宣稱 「 保留 」 ；
豈不	PS	這 豈不是 更 大 的 騙局 ？
竟	PS	「 中間 選民 」 竟 好像 完全 被 兩 邊 拋棄 。
竟	PS	竟 已 暌違 十五 年 之 久 。
竟	PS	股市 竟 跌到 只 剩 三四四六 點 。
竟	PS	竟 有 此 功效 ，
豈不	PS	「 夏張 會 」 豈不是 一 個 美好 的 「 和平 現狀 」 ？
顯然	PS	顯然 是 厭惡 已 極 ；
竟	PS	竟 要 靠 其他 政黨 的 禮讓 、 施捨 、 暗助 ，
居然	PS	居然 連 慰安婦 的 痛苦 經驗 都 扭曲 成 「 自願 」 。
竟	PS	而 他們 竟 能 將 校方 的 關切 說成 「 施壓 」 ，
竟	PS	立法院 竟 連 課綱 都 想 染指 ，
顯然	PS	所 要 提示 的 意象 顯然 是 ：
竟	PS	竟 讓 北京 一時 難以 拆解 ，
絕非	PS	卻 絕非 可 大可 久 的 治國 策略 。
顯然	PS	顯然 亦 復 如此 。
顯然	PS	顯然 有失 公允 。
豈不	PS	她 豈不 知 ，
竟	PS	竟 遭 十七 名 藍委 聯手 力阻 ；
竟	PS	竟 讓 許多 人 對 自己 的 信念 產生 動搖 ，
竟	PS	則 何以 竟 反對 「 九二 共識 」 ？
竟	PS	蔡英文 若 竟 看成 只是 她 左手 打 右手 的 戰爭 ，
絕非	PS	絕非 明智 的 決定 。
顯然	PS	政黨 輪替 顯然 已 是 不可 阻擋 之 勢 ；
顯然	PS	顯然 也 有 「 期望 太 高 」 或 「 期望 錯誤 」 的 問題 。
顯然	PS	蔡英文 顯然 是 因 太陽花 風潮 掀起 的 「 一半 民意 」 而 扶搖直上 ；
竟	PS	八 年 後 竟 會 以 如此 悲慘 的 方式 收場 ，
豈不	PS	豈不 落入 時代 力量 口口聲聲 要 打倒 的 「 反 黑箱 」 窠臼 ？
竟	PS	對 年輕 世代 的 問題 竟 絲毫 未 提 ，
豈不	PS	豈不 更 甚於 促進 兩岸 交流 協商 ？
豈不	PS	這樣 的 政治 立場 豈不 可悲 ？
顯然	PS	顯然 極 不 相稱 ，
竟	PS	他 竟 看 不 到 其中 有 更 重要 的 法治 及 公權力 尊嚴 需要 維護 。
豈不	PS	豈不是 在 鼓勵 民眾 越 法 踰矩 ？
絕非	PS	這 絕非 社會 大眾 樂見 的 景象 。
豈不	PS	豈不是 在 塑造 錯亂 的 價值 ？
竟	PS	竟 有 親綠名 嘴 在 會 中 點名 批判 邱太三 ，
不 是 嗎 ？	PS	不 是 嗎 ？
顯然	PS	即已 顯然 過當 。
顯然	PS	顯然 都 變成 虛偽 的 謊言 。
竟	PS	竟 同意 增加 五．九億 元 的 專案 補貼 ，
豈不	PS	豈不 令 人 深感 反諷 ？
竟	PS	總統 竟 仍 選擇 要 許宗力 「 回鍋 」 ，
顯然	PS	顯然 正 快速 遷移 。
豈不	PS	豈不 就 源於 前年 春天 的 太陽 花 運動 ？
顯然	PS	柯文哲 受到 的 崇拜 顯然 超過 其 實際 能力 ，
豈不	PS	豈不 滑稽 ？
豈不	PS	豈不 可笑 ？
絕非	PS	澄清 該 文件 絕非 「 一 中 承諾書 」 ，
絕非	PS	這 絕非 民主 提升 的 景象 。
豈不	PS	豈不是 太 脫離 政治 現實 ？
豈不	PS	豈不是 太 不 識相 ？
絕非	PS	絕非 「 瞄 警察 」 、 「 舉止 倉卒 」 之 寬鬆 標準 。
竟	PS	如果 法界 竟 奉行 「 西瓜 主義 」 ，
顯然	PS	想要 逃跑 、 或 出國 避難 的 比率 顯然 更 高 。
竟	PS	竟 硬 拗 「 預算 就是 數字 」 ，
竟	PS	竟 勞駕 總統府 秘書長 吳釗燮 親自 出馬 溝通 ，
竟	PS	竟 還 停留 在 如此 表面 的 層次 ！
顯然	PS	顯然 是 習近平 「 兩岸 一 家 親 」 、 「 心靈 契合 」 等 理念 由 口號 到 落實 的 表現 ，
竟	PS	竟 不 分 青紅皂白 把 檢察官 全 打成 「 統治 者 的 工具 」 ；
不 是 嗎 ？	PS	不 是 嗎 ？
竟	PS	竟 已 淪落到 「 只 分 藍 綠 、 不 問 品德 」 的 地步 ？
竟	PS	邱俊榮 竟 利用 周 末 在 人潮 聚集 的 捷運站 窺伺 年輕 女子 ，
竟	PS	這 場 扣人心弦 的 運動 竟 只 造就 了 一 個 自甘 扮演 台獨 側翼 的 政黨 ，
豈不	PS	豈不 令 人 失望 ？
竟	PS	對於 激情 太陽花 最後 竟 開出 一 粒 獨果 ，
顯然	PS	顯然 是 「 只 論 戰功 ，
顯然	PS	以 白色 力量 為 號召 的 柯文哲 聲勢 顯然 大不如前 ，
顯然	PS	他 顯然 屬於 「 從小 立志 當 總統 」 的 類型 ，
豈不	PS	豈不是 欺 世 又 盜 名 ？
竟	PS	部分 竟 視 英國 殖民 時期 治理 制度 為 典範 ，
竟	PS	私菸案 竟 引發 「 小綠 」 惡鬥
竟	PS	竟 發展出 「 綠黨 打 時力 」 的 戲 外 戲 ，
竟	PS	兩 人 竟 成 她 形象 沉淪 的 顯影劑 。
毫無 疑問 ，	TTC	毫無 疑問 ，
常識	TTC	可謂 已 是 在 兩岸 議題 上 的 常識 。
常識	TTC	由於 這 不 是 一 個 合於 情理 與 常識 的 操作 ，
常識	TTC	嚴重 背離 了 兩岸 關係 的 常識 。
常識	TTC	常識 指出 ：
常識	TTC	這 已 不僅 是 常識 ，
常識	TTC	兩岸 的 政治 常識 與 定律 是 ：
定律	TTC	兩岸 的 政治 常識 與 定律 是 ：
常識	TTC	此 說 根本 違反 了 兩岸 政治 的 常識 與 定律 ，
定律	TTC	此 說 根本 違反 了 兩岸 政治 的 常識 與 定律 ，
可想而知	TTC	自然 可想而知 。
可想而知	TTC	結局 如何 自是 可想而知 。
毫無 疑問 ，	TTC	毫無 疑問 ，
邊緣化	X	它 反而 在 學運 中 被 邊緣化 了 。
根本	X	卻 也 有 根本 的 不同 。
必須	X	甚至 要求 他人 必須 表態 選 邊 ，
必須	X	他 要求 民眾 必須 理解 反核 者 的 訴求 ，
根本	X	從 根本 上 解決 供電 缺口 及 減 碳 問題 。
根本	X	擴大 人民 信任 基礎 是 根本 。
引爆	X	查納耶夫 兄弟 引爆 炸彈 ，
暴力	X	甚至 把 保護 官署 、 維持 秩序 的 員警 指為 「 國家 暴力 」 。
根本	X	民進黨 沒有 能力 處理 台獨 及 服貿 協議 等 根本 的 問題 ，
竟	X	其 主體 工程 則 在 使 兩岸 「 泛 ＥＣＦＡ 體系 」 的 未 竟 工程 ，
交易	X	上海 與 香港 股市 交易 互聯 機制 「 滬港通 」 下 周 一 即將 啟動 ，
撇開	X	撇開 網軍 手段 的 正當 與否 不論 ，
根本	X	才 是 根本 之 道 。
根本	X	此 段 發言 至少 已 改變 了 二 〇 一二 年 蔡英文 根本 否認 「 九二 共識 」 之 存在 的 說法 。
無效	X	被 法院 判為 無效 ；
絕不	X	馬 總統 今天 談起 他 「 絕不 跛腳 」 的 心志 ，
根本	X	這 是 他 權力 與 理想 雙雙 落空 的 問題 根本 所在 。
侵犯	X	本 應 嚴正 捍衛 國會 的 尊嚴 、 自主 與 不可 侵犯 ，
必須	X	卻 在 修憲 討論 中 完全 避 談 是否 必須 修改 否 棄 「 憲法 一 中 」 。
撇開	X	撇開 個別 議題 的 是非 不論 ，
撇開	X	但 撇開 「 史 上 最 冷 」 的 萬 點 行情 不 談 ，
絕不	X	重申 「 絕不 能 讓 兩岸 關係 再 遭 折騰 ，
交易	X	ＦＴＡ 卻 會 催化 交易 的 熱情 。
撇開	X	先 撇開 課綱 爭議 不 談 ，
根本	X	「 公民 不 服從 」 運動 的 根本 精神 ，
必須	X	必須 以 海峽 航路 換取 。
必須	X	蔡英文 必須 慎思 ，
陷	X	李登輝 顯然 已 陷 迷狂 。
矛盾	X	這 是 矛盾 。
矛盾	X	這 也 是 矛盾 。
永遠	X	卻 見 主張 兩岸 「 永遠 維持 現狀 」 的 比率 竄上 五成五 的 新高 ；
永遠	X	民眾 主張 「 永遠 維持 現狀 」 的 比率 較 去年 大幅 增加 八 個 百分點 ，
永遠	X	大量 增加 的 「 永遠 維持 現狀 」 主張 者 ，
根本	X	人們 不 曾 聽聞 綠營 的 思維 或 論述 有 什麼 根本 的 修正 或 調整 ，
一針見血	X	人們 又 何曾 聽到 茅塞頓開 或 一針見血 的 解決之道 ？
戰場	X	國民黨 守 不 住 的 戰場 ，
危機	X	最 大 的 危機 是 期望值 太 高 ，
妨礙	X	北檢 依 「 妨礙 公務 」 罪嫌 起訴 ，
傷害	X	並 非 刻意 傷害 對方 ；
暴力	X	但 推打 警察 已 涉及 肢體 暴力 ，
隨便	X	隨便 讓 民眾 進出 ，
底蘊	X	撇開 政治 文化 底蘊 的 問題 不 談 ，
撇開	X	撇開 蘇嘉全 不 談 ，
衝突	X	引爆 嚴重 衝突 。
衝突	X	這些 衝突 與 不滿 其實 都 有 太陽花 運動 殘留 的 魅影 ，
危機	X	首先 是 美國 的 次 貸 危機 ，
危機	X	然後 是 歐債 危機 ，
危機	X	一連串 金融 危機 讓 歐美 政治 菁英 慌 了 手腳 ，
危機	X	全球 貿易 與 全球 金融 危機 ，
無效	X	釋憲 機關 無法 宣告 國安 三 法 無效 。
衝突	X	在 立法院 周遭 爆發 數 波 流血 衝突 ，
衝突	X	衝突 過 後 ，
撇開	X	撇開 個別 的 政策 是非 和 得失 不 談 ，
悲劇	X	中央 和 北 市府 都 把 命案 定 調為 「 情殺 」 悲劇 ，
必須	X	柯 都 到 了 必須 標舉 其 獨立 自主性 的 關鍵 時刻 。
必須	X	或者 兩 者 之間 仍 有 一 道 不可 踰越 的 界線 必須 釐清 ？
必須	X	恐怕 過度 忽視 政權 輪替 必須 積累 的 各 種 能量 和 時空 條件 。
必須	X	一味 堅持 自己 「 有 一 個 總統 夢 」 必須 實現 ，
暴力	X	香港 特 首 譴責 暴力 ，
暴力	X	不 接受 任何 暴力 行為 。
暴力	X	親 泛民派 的 大 律師 公會 主席 也 批評 示威 者 暴力 行為 破壞 香港 法治 。
根本	X	這 個 結果 凸顯 台港 兩 地 的 根本 差異 ，
暴力	X	坐任 公民 運動 走向 暴力 抗爭 ，
衝突	X	除 順應 中 美 戰略 衝突 情勢 ，
危機	X	有 分裂 危機 。
絕不	X	絕不 是 依附 在 藍綠 的 尾巴 上 的 小 黨 ，
